name,habitat,gps,lon,lat
20,Forest,11BEA017,-69.11279728,-12.22619643
21,Forest,11BEA018,-69.11188197,-12.22604798
22,Forest,11BEA019,-69.11138903,-12.22599702
23,Forest,11BEA021,-69.11100799,-12.22648401
24,Forest,11BEA023,-69.11048597,-12.22730703
25,Forest,11BEA024,-69.11072804,-12.22759704
26,Forest,11BEA022,-69.11024096,-12.22649801
27,Forest,11BEA029,-69.10970704,-12.22753602
28,Forest,11BEA031,-69.10927797,-12.22797498
29,Forest,11BEA038,-69.10995799,-12.228367
30,Edge,BEA001,-69.114791,-12.22700704
31,Edge,BEA003,-69.11534596,-12.22702598
32,Field,11BEA0026,-69.11635498,-12.22613197
33,Edge,11BEA006,-69.11589799,-12.22362896
34,Edge,11BEA007,-69.11545099,-12.22391797
40,Edge,11BEA027,-69.11541402,-12.22755597
39,Edge,11BEA033,-69.11356397,-12.227777
37,Edge,11BEA004,-69.11584997,-12.22772
36,Edge,11BEA005,-69.11809498,-12.22501097
35,Field,BEA002,-69.11530397,-12.22612602
38,Edge,11BEA028,-69.11448003,-12.22767097
41,Edge,11BEA044,-69.11384501,-12.22699698
42,Forest,11BEA037,-69.11061496,-12.22841201
43,Forest,11BEA043,-69.10959296,-12.22682096
44,Forest,NA,-69.11128,-12.22782